right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.606,11,-2.7548,-9.4825,-8.3556,1.6216,1.049,1.2917,76,0.141,2,1.1377,8.177,-7.37,-1.0556,-0.0915,0.121,85,0.503,9,8.5503,-0.9805,-12.1308,-0.5887,0.3959,0.5181,74,85203.842,1647635,-12.1574,-3.2478,-13.8039,0.5736,0.8808,0.2693,46
0.658,12,-3.2984,-7.4236,-9.0822,1.7853,1.0842,1.3173,76,0.192,3,0.1142,8.2209,-5.9395,-0.9899,-0.7394,0.3967,85,0.554,10,6.2949,-5.3358,-13.5657,0.1197,-0.2324,0.354,74,85203.893,1647636,-10.4576,-2.6602,-13.1026,0.9142,1.0716,0.1143,46
0.71,13,-3.3709,-4.809,-9.5928,1.9752,0.714,0.9718,76,0.244,4,0.6622,8.9841,-4.7296,-0.827,-1.2123,0.4345,85,0.606,11,7.187,-6.8816,-13.7,-0.0392,-0.6848,0.3174,74,85203.945,1647637,-7.9958,-2.4318,-11.574,1.1148,1.3028,-0.1683,46
0.762,14,-2.9609,-3.1554,-10.261,2.0118,-0.0404,0.259,76,0.296,5,1.1332,9.2231,-2.8723,-0.8509,-1.1848,0.3542,85,0.658,12,7.9109,-5.9901,-13.6589,-0.2521,-0.7821,0.3412,74,85203.997,1647638,-5.5425,-2.2116,-10.2296,1.1919,1.5949,-0.397,46
0.813,15,-1.2006,-4.1762,-8.8779,1.6709,-0.6988,-0.4861,76,0.348,6,1.3678,8.5608,-1.8888,-0.9936,-0.8145,0.2482,85,0.71,13,8.7661,-4.7685,-13.3597,-0.283,-0.7362,0.318,74,85204.048,1647639,-3.1418,-1.464,-9.1542,1.2873,1.793,-0.5914,46
0.865,16,3.0016,-6.0892,-3.8883,1.3718,-1.1794,-1.0299,76,0.4,7,0.9473,6.806,-1.3771,-1.2301,-0.0912,0.3254,85,0.762,14,8.974,-3.9748,-13.0595,-0.3251,-0.7048,0.302,74,85204.1,1647640,-1.126,-0.4286,-7.4162,1.5247,1.9112,-0.7928,46
0.917,17,5.4866,-4.5236,-7.7273,0.9207,-1.5301,-1.0292,76,0.452,8,0.329,5.3462,-1.607,-1.3697,0.5817,0.5291,85,0.813,15,8.6446,-3.6479,-13.0536,-0.3194,-0.7359,0.2535,74,85204.152,1647641,-0.4097,2.8432,-6.8929,1.7867,2.0659,-1.1885,46
0.969,18,7.41,-4.6153,-6.9745,0.0986,-1.6822,-0.6273,76,0.504,9,-0.5619,4.6733,-2.5279,-1.6745,0.8422,0.679,85,0.865,16,8.6841,-3.1151,-13.2013,-0.2735,-0.8133,0.2194,74,85204.204,1647642,0.0345,2.278,-6.9538,1.9779,2.1854,-1.5418,46
1.021,19,7.4091,-5.9166,-6.1124,-0.6054,-1.3753,-0.6948,76,0.555,10,-0.9481,4.8892,-2.7047,-1.6647,0.7428,0.4022,85,0.917,17,8.6177,-2.6491,-13.3605,-0.2969,-0.9275,0.2531,74,85204.255,1647643,0.3633,1.8375,-7.0342,2.1174,2.2775,-1.801,46
1.072,20,5.8198,-7.541,-6.4392,-1.1168,-0.8869,-0.8867,76,0.607,11,-1.4809,3.7969,-5.3308,-1.895,0.3657,-0.0155,85,0.969,18,9.1828,-2.701,-12.9129,-0.3326,-1.214,0.2726,74,85204.307,1647644,0.6788,1.3281,-7.2046,2.2193,2.3477,-1.9897,46
1.124,21,4.7457,-8.3651,-6.8224,-1.0585,-0.5961,-0.8944,75,0.659,12,3.8391,2.1804,-6.8578,-1.9613,-0.3879,-0.5916,85,1.02,19,10.8363,-1.6695,-12.2932,-0.5281,-1.5594,0.4298,74,85204.359,1647645,0.8516,1.0675,-7.3204,0.9418,1.3761,-0.9078,46
1.176,22,4.0131,-8.4349,-6.9009,-0.3503,-0.4829,-0.8072,75,0.711,13,5.3475,2.5653,-8.2733,-1.3493,-0.9558,0.2123,85,1.072,20,13.1746,-0.5022,-11.3771,-1.0607,-1.8115,0.5132,74,85204.411,1647646,0.9836,0.9298,-7.229,0.0095,0.6751,-0.0704,46
1.228,23,3.7765,-8.0014,-7.334,0.0807,-0.2764,-0.5839,75,0.763,14,8.8227,1.9138,-4.9887,-0.4186,-1.3702,0.0932,85,1.124,21,10.0624,-4.066,-16.1524,-0.2625,-1.7111,0.0939,74,85204.462,1647647,1.0841,0.8316,-7.1132,-0.6709,0.1746,0.5403,46
1.28,24,4.4052,-7.7475,-7.8528,0.3062,-0.1036,-0.3761,75,0.814,15,11.3591,1.0939,-10.8473,0.3662,-1.6727,0.0845,85,1.176,22,9.525,-1.6067,-13.6292,0.3561,-1.0736,-0.4174,74,85204.514,1647648,1.1477,0.75,-7.0217,-1.1675,-0.1812,0.9852,46
1.331,25,5.3427,-7.0967,-8.2065,0.2064,0.2015,-0.1778,75,0.866,16,12.7621,2.5304,-9.8236,0.2337,-1.0541,-0.4867,85,1.227,23,8.5126,-1.331,-13.5641,0.8582,-0.1052,-0.9787,74,85204.566,1647649,1.1901,0.703,-6.9587,-1.53,-0.4299,1.3084,46
1.383,26,5.2715,-5.9032,-8.613,-0.3643,0.5046,0.1047,75,0.918,17,10.9382,2.3475,-7.7006,0.8423,-0.4134,-0.3028,85,1.279,24,8.5871,-0.4193,-13.1091,1.0183,0.6016,-1.3883,74,85204.618,1647650,3.6509,-4.7448,-2.5154,-1.7079,-0.4311,1.1246,46
1.435,27,6.5033,-7.6619,-8.3824,-0.4477,0.1712,0.1104,75,0.97,18,8.7578,3.8854,-7.0118,1.2865,0.1543,-0.0362,85,1.331,25,8.9602,-0.6801,-13.2962,1.1059,1.1174,-1.6873,74,85204.669,1647651,3.6592,-6.4138,-1.1618,-0.5735,-0.0776,0.7195,46
1.487,28,7.1759,-8.5535,-8.354,0.1313,0.1623,0.1374,75,1.022,19,6.8591,4.3417,-6.9325,1.6106,0.5581,0.3965,85,1.383,26,10.1947,-0.5254,-14.3412,1.4837,1.4939,-1.9054,74,85204.721,1647652,2.6041,-1.5812,-1.7688,0.2553,0.5769,0.419,46
1.539,29,6.538,-9.2792,-7.6436,0.5328,0.031,0.4291,75,1.073,20,5.5168,4.4151,-7.0303,1.7781,1.0043,0.9138,85,1.435,27,9.482,-2.1359,-16.2934,1.7499,1.7549,-2.0315,74,85204.773,1647653,2.0555,-0.98,-3.0791,0.8602,1.0972,0.1162,46
1.59,30,4.1075,-10.1101,-7.5973,1.0366,-0.0421,0.9131,75,1.125,21,5.7248,6.4123,-7.3499,1.9694,1.1903,1.2457,85,1.487,28,11.6304,-6.7959,-19.8965,0.6428,0.6074,-0.8736,74,85204.825,1647654,1.6528,-0.5268,-4.1371,1.3017,1.4759,-0.1087,46
1.642,31,3.2234,-8.982,-7.9804,1.4309,-0.1823,1.343,75,1.177,22,7.8205,8.4334,-7.2721,2.1091,1.3504,0.6568,85,1.539,29,8.0669,-5.3159,-22.5263,1.0016,-0.1709,-0.4517,74,85204.876,1647655,4.9537,-2.9032,-8.1593,0.3367,1.1104,-0.0697,46
1.694,32,3.7904,-8.1608,-7.5306,1.2444,0.1178,1.6568,75,1.229,23,6.9708,8.2142,-6.6024,2.0359,1.3996,-0.1491,85,1.59,30,8.6099,-4.483,-20.6813,0.6442,-0.5814,0.149,74,85204.928,1647656,3.8382,-1.761,-5.5284,-0.4321,0.8714,0.0095,46
